epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,178.165,1.41402,0.7313,0.9913,0.7293,0.00333244,0.00333244,0.00333244
2,334.909,1.06471,0.8004,0.9939,0.59251,0.00644581,0.00644581,0.00644581
3,484.892,1.10112,0.756,0.9955,0.62643,0.00933917,0.00933917,0.00933917
4,632.705,1.04057,0.8418,0.9972,0.44854,0.00901,0.00901,0.00901
5,780.915,0.77129,0.8454,0.9979,0.41428,0.00868,0.00868,0.00868
6,929.746,0.66208,0.8724,0.9982,0.36051,0.00835,0.00835,0.00835
7,1078.47,0.63698,0.8733,0.9984,0.36491,0.00802,0.00802,0.00802
8,1227.59,0.60367,0.8837,0.9989,0.32691,0.00769,0.00769,0.00769
9,1376.42,0.57715,0.8811,0.9987,0.32589,0.00736,0.00736,0.00736
10,1525.57,0.55027,0.8882,0.999,0.30635,0.00703,0.00703,0.00703
11,1675.2,0.52923,0.8886,0.9982,0.30168,0.0067,0.0067,0.0067
12,1824.93,0.52929,0.8926,0.9984,0.29612,0.00637,0.00637,0.00637
13,1975.03,0.51394,0.8926,0.9985,0.29328,0.00604,0.00604,0.00604
14,2125.41,0.50486,0.8949,0.9986,0.28899,0.00571,0.00571,0.00571
15,2275.65,0.4926,0.8956,0.9986,0.28621,0.00538,0.00538,0.00538
16,2426.14,0.48116,0.8965,0.9987,0.284,0.00505,0.00505,0.00505
17,2576.92,0.48272,0.8953,0.9987,0.28253,0.00472,0.00472,0.00472
18,2727.96,0.46841,0.8966,0.9986,0.28137,0.00439,0.00439,0.00439
19,2879.33,0.46024,0.8958,0.9986,0.2802,0.00406,0.00406,0.00406
20,3031.43,0.45051,0.8954,0.9986,0.2787,0.00373,0.00373,0.00373
21,3183.63,0.44474,0.8957,0.9986,0.27727,0.0034,0.0034,0.0034
22,3335.81,0.43858,0.8968,0.9986,0.27584,0.00307,0.00307,0.00307
23,3487.57,0.42914,0.8972,0.9987,0.27471,0.00274,0.00274,0.00274
24,3640.3,0.41548,0.8975,0.9988,0.27281,0.00241,0.00241,0.00241
25,3795.21,0.41305,0.8987,0.9988,0.27095,0.00208,0.00208,0.00208
26,3950.03,0.40371,0.8987,0.9985,0.26996,0.00175,0.00175,0.00175
27,4103.07,0.39561,0.8999,0.9985,0.26829,0.00142,0.00142,0.00142
28,4256.34,0.38761,0.9003,0.9986,0.2674,0.00109,0.00109,0.00109
29,4409.74,0.37918,0.9004,0.9985,0.26516,0.00076,0.00076,0.00076
30,4563.55,0.36787,0.9012,0.9986,0.26334,0.00043,0.00043,0.00043
